# 生成: detect_term_variants.py scan (--terms .rn/20260724-ntf-yaml-support/mapping/tools/term_candidates.tsv)
# コーパス: current,input,fw,design
# 基準コミット(current): c24190607fef5d76c607aa08b36d2ab2f813efe5
category	canonical	surface	corpus	count	files	locations
全体	テスティングフレームワーク	テスティングフレームワーク	current	26	10	ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:55;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/rest.rst:8;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/rest.rst:64;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:187;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:243;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/rest.rst:46;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:163;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:561;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:51;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:57;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:63;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:72;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:73;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:79;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:351;ja/development_tools/testing_framework/guide/development_guide/08_TestTools/02_MasterDataSetup/01_MasterDataSetupTool.rst:27;ja/development_tools/testing_framework/guide/development_guide/08_TestTools/02_MasterDataSetup/index.rst:14;ja/development_tools/testing_framework/index.rst:2;ja/development_tools/testing_framework/index.rst:14;ja/development_tools/testing_framework/index.rst:15;ja/development_tools/testing_framework/index.rst:19;ja/development_tools/testing_framework/index.rst:20;ja/development_tools/testing_framework/index.rst:26;ja/development_tools/testing_framework/index.rst:27
全体	テスティングフレームワーク	テスティングフレームワーク	input	1	1	.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:380
全体	テスティングフレームワーク	テスティングフレームワーク	fw	8	6	ja/application_framework/application_framework/blank_project/CustomizeDB.rst:141;ja/application_framework/application_framework/blank_project/CustomizeDB.rst:498;ja/application_framework/application_framework/blank_project/setup_blankProject/setup_NablarchBatch.rst:126;ja/application_framework/application_framework/blank_project/setup_blankProject/setup_NablarchBatch_Dbless.rst:116;ja/application_framework/application_framework/blank_project/setup_blankProject/setup_Web.rst:119;ja/application_framework/application_framework/handlers/web/csrf_token_verification_handler.rst:155;ja/application_framework/application_framework/handlers/web/csrf_token_verification_handler.rst:160;ja/application_framework/application_framework/libraries/db_double_submit.rst:106
全体	テスティングフレームワーク	テスティングフレームワーク	design	3	1	.rn/20260724-ntf-yaml-support/design.md:13;.rn/20260724-ntf-yaml-support/design.md:14;.rn/20260724-ntf-yaml-support/design.md:23
全体	テスティングフレームワーク	自動テストフレームワーク	current	70	18	ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst:581;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst:702;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst:567;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst:686;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:99;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:108;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:110;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:112;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:114;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:186;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/fileupload.rst:67;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:86;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:88;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:132;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:167;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:170;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:174;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:178;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:623;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:709;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst:710;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/real.rst:77;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/real.rst:312;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/rest.rst:10;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/rest.rst:60;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:27;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:30;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:32;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:36;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:40;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:46;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:56;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:231;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:269;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:293;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/batch.rst:5;ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:207;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:4;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:13;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:18;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:25;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:137;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:158;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:509;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:666;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:674;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:684;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:686;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:739;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:275;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:430;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_RequestUnitTest.rst:95;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/04_MasterDataRestore.rst:60;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/04_MasterDataRestore.rst:61;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/04_MasterDataRestore.rst:78;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:15;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:16;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:19;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:20;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:52;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:53;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:55;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:58;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:108;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:173;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:180;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:202;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:446;ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/index.rst:4;ja/development_tools/testing_framework/guide/development_guide/08_TestTools/02_MasterDataSetup/01_MasterDataSetupTool.rst:22
全体	テスティングフレームワーク	自動テストフレームワーク	input	1	1	.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:3
全体	テスティングフレームワーク	自動テストフレームワーク	fw	0	0	
全体	テスティングフレームワーク	自動テストフレームワーク	design	1	1	.rn/20260724-ntf-yaml-support/design.md:30
全体	テスティングフレームワーク	テストフレームワーク	current	1	1	ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:825
全体	テスティングフレームワーク	テストフレームワーク	input	0	0	
