finding_id,file,line,rule_id,detected,expected,severity,fix_proposal
F-001,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata/index.rst,11,C-04,FL2 に = under-only を使用（7箇所、例: 「テストデータの全体像」L11）,FL2 は - over+under（C-04 規定）,medium,FL2 見出し（L11/L190/L366/L875/L1193/L1545/L1815）を - over+under に変更し、FL3==/FL4=-/FL5=~ の体系に統一する
F-002,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata/index.rst,16,C-04,FL3 に - under-only を使用（36箇所、例: 「全体像」L16）,FL3 は = under-only（C-04 規定）,medium,（F-001 と一体修正）
F-003,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata/index.rst,57,C-04,FL4 に ~ under-only を使用（76箇所、例: 「Excelの場合」L57）,FL4 は - under-only（C-04 規定）,medium,（F-001 と一体修正）
F-004,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata/index.rst,510,C-04,FL5 に ^ under-only を使用（27箇所、例: 「Excelの場合」L510）,FL5 は ~ under-only（C-04 規定）,medium,（F-001 と一体修正）
F-005,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata/examples.rst,21,C-04,FL3 に ~ under-only を使用（29箇所、例: 「Excelの場合」L21）,FL3 は = under-only（C-04 規定）,medium,FL3 見出し（~ under-only）を = under-only に、FL4（^ under-only）を - under-only に変更して標準体系に統一する
F-006,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata/examples.rst,215,C-04,FL4 に ^ under-only を使用（50箇所、例: 「Excelの場合」L215）,FL4 は - under-only（C-04 規定）,medium,（F-005 と一体修正）
F-007,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/index.rst,12,C-04,FL2 に = under-only を使用（5箇所、例: 「テストクラスの設定」L12）,FL2 は - over+under（C-04 規定）,medium,FL2 見出し5箇所（L12/L43/L51/L59/L67）を - over+under に変更する
F-008,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/index.rst,15,C-04,FL3 に - under-only を使用（3箇所、例: 「データベースを使用するクラスのテスト」L15）,FL3 は = under-only（C-04 規定）,medium,（F-007 と一体修正）
F-101,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata_format.rst,27,C-14,「各シートのセルを**文字列書式**で」（**の前にスペースなし）,「各シートのセルを **文字列書式** で」（**の前後に半角スペース）,low,「を**文字列書式**で」→「を **文字列書式** で」に修正する
F-102,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/testdata/examples.rst,213,C-15,「処理方式固有のカラム構成を以下に示す。」が同一サブセクション内で3回重複（L213/L218/L234等 合計12箇所）,導入文は各レベルで1回のみ記述する,medium,各処理方式サブセクション（Excel・YAML各小見出し直下）の「処理方式固有のカラム構成を以下に示す。」を削除し、処理方式見出し（~）直下の1文のみ残す
