section_id,src_file,src_line,body_start_line,body_end_line,heading_path,lines,code_blocks,tables,figures
input-0001,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,2,2,11,NTF 解説書（v6）用語リファレンス > (L1直下),10,0,0,0
input-0002,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,12,13,35,NTF 解説書（v6）用語リファレンス > 用語ドメインの全体像,23,1,0,0
input-0003,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,36,37,60,NTF 解説書（v6）用語リファレンス > データタイプ（Data Types）,24,0,1,0
input-0004,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,61,62,79,NTF 解説書（v6）用語リファレンス > シート・行・列・セル,18,0,1,0
input-0005,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,81,81,83,NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント） > (L2直下),3,0,0,0
input-0006,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,84,85,97,NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント） > 特殊記法,13,0,1,0
input-0007,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,98,99,101,NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント） > マーカーカラム,3,0,0,0
input-0008,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,102,103,105,NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント） > コメント,3,0,0,0
input-0009,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,106,107,109,NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント） > 日付記述フォーマット,3,0,0,0
input-0010,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,110,111,117,NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント） > 設計原則（用語として登場する概念）,7,0,0,0
input-0011,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,118,119,128,NTF 解説書（v6）用語リファレンス > グループ ID,10,0,0,0
input-0012,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,131,132,166,NTF 解説書（v6）用語リファレンス > データタイプ別の行構造 > DB 系（SETUP_TABLE / EXPECTED_TABLE / EXPECTED_COMPLETE_TABLE / LIST_MAP）,35,0,2,0
input-0013,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,167,168,184,NTF 解説書（v6）用語リファレンス > データタイプ別の行構造 > 固定長ファイル（SETUP_FIXED / EXPECTED_FIXED）,17,1,0,0
input-0014,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,185,186,201,NTF 解説書（v6）用語リファレンス > データタイプ別の行構造 > 可変長ファイル（SETUP_VARIABLE / EXPECTED_VARIABLE）,16,1,0,0
input-0015,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,202,203,212,NTF 解説書（v6）用語リファレンス > データタイプ別の行構造 > ファイルデータのフィールド定義用語,10,0,1,0
input-0016,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,213,214,233,NTF 解説書（v6）用語リファレンス > データタイプ別の行構造 > ディレクティブ,20,0,1,0
input-0017,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,235,235,244,NTF 解説書（v6）用語リファレンス > testShots / requestParams（テストケース一覧） > (L2直下),10,0,1,0
input-0018,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,245,246,276,NTF 解説書（v6）用語リファレンス > testShots / requestParams（テストケース一覧） > testShots カラム一覧（ウェブアプリケーション）,31,0,1,0
input-0019,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,277,278,295,NTF 解説書（v6）用語リファレンス > testShots / requestParams（テストケース一覧） > testShots カラム一覧（バッチ処理）,18,0,1,0
input-0020,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,296,297,311,NTF 解説書（v6）用語リファレンス > testShots / requestParams（テストケース一覧） > testShots カラム一覧（メッセージング受信）,15,0,1,0
input-0021,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,312,313,324,NTF 解説書（v6）用語リファレンス > testShots / requestParams（テストケース一覧） > ログ検証（expectedLog）,12,0,1,0
input-0022,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,327,328,340,NTF 解説書（v6）用語リファレンス > メッセージング > 基本用語,13,0,1,0
input-0023,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,341,342,363,NTF 解説書（v6）用語リファレンス > メッセージング > メッセージデータ構造（受信: setUpMessages / expectedMessages）,22,0,0,0
input-0024,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,364,365,382,NTF 解説書（v6）用語リファレンス > メッセージング > メッセージデータタイプ（同期応答メッセージ送信）,18,0,1,0
input-0025,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,383,384,391,NTF 解説書（v6）用語リファレンス > メッセージング > 障害系テスト用特殊値,8,0,1,0
input-0026,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,392,393,397,NTF 解説書（v6）用語リファレンス > メッセージング > 制約事項（同期応答メッセージ送信）,5,0,0,0
input-0027,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,398,399,411,NTF 解説書（v6）用語リファレンス > メッセージング > HTTP 同期応答メッセージ送信の用語読み替え,13,0,1,0
input-0028,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,414,415,426,NTF 解説書（v6）用語リファレンス > テスト種別と主要クラス > テスト種別の正式名称,12,0,1,0
input-0029,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,427,428,442,NTF 解説書（v6）用語リファレンス > テスト種別と主要クラス > DB アクセステスト,15,0,2,0
input-0030,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,443,444,472,NTF 解説書（v6）用語リファレンス > テスト種別と主要クラス > リクエスト単体テスト（ウェブアプリケーション）の主要クラス,29,0,2,0
input-0031,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,473,474,486,NTF 解説書（v6）用語リファレンス > テスト種別と主要クラス > リクエスト単体テスト（RESTful ウェブサービス）,13,0,1,0
input-0032,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,487,488,499,NTF 解説書（v6）用語リファレンス > テスト種別と主要クラス > リクエスト単体テスト（バッチ処理）,12,0,1,0
input-0033,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,500,501,510,NTF 解説書（v6）用語リファレンス > テスト種別と主要クラス > リクエスト単体テスト（メッセージ受信処理）,10,0,1,0
input-0034,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,511,512,525,NTF 解説書（v6）用語リファレンス > テスト種別と主要クラス > リクエスト単体テスト（同期応答メッセージ送信処理）,14,0,1,0
input-0035,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md,526,527,538,NTF 解説書（v6）用語リファレンス > その他のフレームワーク固有用語,12,0,1,0
input-0036,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,2,2,4,NTF テストデータ解説書 — 記述例（ファイルデータ） > (L1直下),3,0,0,0
input-0037,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,5,6,50,NTF テストデータ解説書 — 記述例（ファイルデータ） > 全体像,45,1,1,0
input-0038,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,52,52,54,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.1 固定長ファイル > (L2直下),3,0,0,0
input-0039,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,55,56,72,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.1 固定長ファイル > Excel,17,0,2,0
input-0040,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,73,74,104,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.1 固定長ファイル > YAML,31,1,0,0
input-0041,.rn/20260724-ntf-yaml-support/input/ntf-testdata-doc-examples-file.md,106,106,108,NTF テストデータ解説書 — 記述例（ファイルデータ） > 6.2 エンコーディング指定付き固定長ファイル > (L2直下),3,0,0,0
