section_id,src_file,src_line,body_start_line,body_end_line,heading_path,lines,code_blocks,tables,figures
current-0001,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,1,1,2,(冒頭),2,0,0,0
current-0002,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,6,6,12,Bean Validationに対応したForm/Entityのクラス単体テスト > (L1直下),7,0,0,0
current-0003,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,16,16,21,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > (L2直下),6,0,0,0
current-0004,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,22,24,34,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > テストデータの作成,11,0,0,0
current-0005,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,35,37,65,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > テストクラスの作成,29,1,0,0
current-0006,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,66,68,315,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > 文字種と文字列長の単項目精査テストケース,248,3,4,1
current-0007,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,316,318,429,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > その他の単項目精査のテストケース,112,3,1,1
current-0008,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,430,432,569,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > 項目間精査のテストケース,138,5,0,1
current-0009,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,570,572,701,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > setter、getterに対するテストケース,130,2,0,3
current-0010,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst,702,704,770,Bean Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > 自動テストフレームワーク設定値,67,1,1,0
current-0011,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,1,1,2,(冒頭),2,0,0,0
current-0012,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,6,6,12,Nablarch Validationに対応したForm/Entityのクラス単体テスト > (L1直下),7,0,0,0
current-0013,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,16,16,21,Nablarch Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > (L2直下),6,0,0,0
current-0014,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,22,24,35,Nablarch Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > テストデータの作成,12,0,0,0
current-0015,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,36,38,74,Nablarch Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > テストクラスの作成,37,1,0,0
current-0016,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,75,77,285,Nablarch Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > 文字種と文字列長の単項目精査テストケース,209,3,6,1
current-0017,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,286,288,380,Nablarch Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > その他の単項目精査のテストケース,93,3,1,1
current-0018,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,381,383,553,Nablarch Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > バリデーションメソッドのテストケース,171,4,0,4
current-0019,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/02_entityUnitTestWithNablarchValidation.rst,554,556,676,Nablarch Validationに対応したForm/Entityのクラス単体テスト > Form/Entity単体テストの書き方 > コンストラクタに対するテストケース,121,2,1,2
