mapping_id,src_section_id,src_type,src_file,src_body_start,src_body_end,heading_path,lines,audience,dest_part,dest_page,dest_section,disposition,note
current-0279,current-0279,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,1,2,(冒頭),2,user,,,,DROP,本文は「.. _request-util-test-batch:」というRST内部参照ラベルのみで、直後の空行以外に実体的な記述がない。判断ルール1によりDROP。新規ページ作成時に:refラベルを付与し直せば足りる。
current-0280,current-0280,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,10,15,リクエスト単体テスト（バッチ処理） > 概要 > (L2直下),6,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,機能概要,MOVE,「リクエスト単体テスト（バッチ処理)では、実際にバッチをコマンドラインから起動したときの動作を擬似的に再現し、テストを行う。」という導入文（L2直下）。判断ルール2により後続の全体像・主なクラスリソース（current-0281/0282）と同じdest_sectionへMOVE。design.mdのリクエスト単体テストの処理方式名は「Nablarchバッチアプリケーション」（原文の「バッチ処理」は旧表記）。
current-0281,current-0281,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,18,23,リクエスト単体テスト（バッチ処理） > 概要 > 全体像,6,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,機能概要,MOVE,batch_request_test_class.pngの構成図のみ。design.md第3部の機能概要「全体像（図）」に直接該当するためMOVE。
current-0282,current-0282,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,26,54,"リクエスト単体テスト（バッチ処理） > 主なクラス, リソース",29,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,機能概要,MOVE,リクエスト単体テストクラス／Excelファイル（テストデータ）／StandaloneTestSupportTemplate／BatchRequestTestSupport／TestShot／MainForRequestTesting／DbAccessTestSupport／FileSupportの8行の役割・作成単位表。design.md第3部の機能概要「主なクラスとリソース」に該当しMOVE。
current-0283,current-0283,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,61,63,リクエスト単体テスト（バッチ処理） > 構造 > StandaloneTestSupportTemplate,3,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,使用方法,MOVE,「バッチやメッセージング処理などコンテナ外で動作する処理のテスト実行環境を提供する。テストデータを読み取り、全テストショット(TestShot)を実行する。」というテスト実行エンジンの内部挙動の説明。主なクラス表（current-0282）の同名行の役割説明を補足する内容。batch-13のcurrent-0207（構造＞実行、execute()の内部挙動説明）と同型の「テストを実行する」際の背景説明であり、拡張ポイントとしての言及（「〇〇を継承する」等）はないため使用方法へMOVE。
current-0284,current-0284,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,66,90,リクエスト単体テスト（バッチ処理） > 構造 > TestShot,25,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,使用方法,MOVE,1テストショットの情報保持とテストショットの実行を担うクラスで、テストショットは「入力データの準備」「メインクラス起動」「出力結果の確認」の3要素で構成される旨、コンテナ外動作処理（バッチ・メッセージング）に共通の準備処理（データベースのセットアップ）・結果確認（データベース更新内容確認／ログ出力結果確認／ステータスコード確認）の対応表、入力データ準備・結果確認ロジックは処理方式ごとにカスタマイズ可能である旨。テスト実行の内部挙動説明のため使用方法へMOVE。
current-0285,current-0285,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,93,110,リクエスト単体テスト（バッチ処理） > 構造 > BatchRequestTestSupport,18,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,使用方法,MOVE,バッチ処理テスト用のスーパクラスであり、アプリケーションプログラマが本クラスを継承してテストクラスを作成する旨、TestShotが提供する準備処理・結果確認に「入力ファイルの作成」「出力ファイルの内容確認」を追加する旨の対応表、本クラス使用によりテストソース・テストデータを定型化でき記述量を大きく削減できる旨、具体的な使用方法は05_UnitTestGuide/02_RequestUnitTest/batch（batch-16でリクエスト単体テスト（Nablarchバッチアプリケーション）へMOVE済み）を参照という導線。「テストクラスを作成する」手順としてMOVE。
current-0286,current-0286,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,113,120,リクエスト単体テスト（バッチ処理） > 構造 > MainForRequestTesting,8,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,使用方法,MOVE,リクエスト単体テスト用のメインクラスであり、本番用メインクラスとの主な差異が「テスト用のコンポーネント設定ファイルからシステムリポジトリを初期化する」「常駐化機能を無効化する」の2点である旨。テスト実行時の内部挙動説明のため使用方法へMOVE。
current-0287,current-0287,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,123,133,リクエスト単体テスト（バッチ処理） > 構造 > FileSupport,11,user,第3部 テストの実装方法,リクエスト単体テスト（Nablarchバッチアプリケーション）,使用方法,MOVE,ファイルに関する操作を提供するクラスであり、「テストデータから入力ファイルを作成する」「テストデータの期待値と実際に出力されたファイルの内容を比較する」の2機能を提供する旨、ファイル操作はバッチ処理以外（例：ファイルダウンロード）でも必要なため独立したクラスとして提供している旨。テスト実行時に使用されるクラスの説明のため使用方法へMOVE。
current-0288,current-0288,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,136,141,リクエスト単体テスト（バッチ処理） > テストデータ > (L2直下),6,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,「バッチ処理固有のテストデータについて説明する。」という導入文（L2直下）と固定長ファイル節への内部参照ラベル。判断ルール2・3により後続の固定長ファイル・可変長ファイル（current-0289/0290、いずれもテストデータの記法説明）と同じテストデータの書き方ページへMOVE。
current-0289,current-0289,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,144,172,リクエスト単体テスト（バッチ処理） > テストデータ > 固定長ファイル,29,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,基本的な記述方法は:ref:`batch_request_test`（＝旧02_RequestUnitTest/batch.rst、batch-16でテストデータの書き方へMOVE済み）を参照という導線、パディング（指定フィールド長に対しデータのバイト長が短い場合、データ型に応じたパディングが行われ、アルゴリズムはNablarch Application Framework本体と同様である旨）、バイナリデータの記述方法（16進数形式で記述する旨、``0x4AD``→2バイト配列の解釈例、tip:プレフィックス0xが無い場合は文字列とみなしディレクティブの文字コードでエンコードしてバイト配列に変換する旨、Windows-31Jで``4AD``と記載した場合の3バイト変換例）。テストデータの記法説明のため判断ルール3によりテストデータの書き方へMOVE。
current-0290,current-0290,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,175,180,リクエスト単体テスト（バッチ処理） > テストデータ > 可変長ファイル,6,user,第3部 テストの実装方法,テストデータの書き方,使用方法,REFERENCE,本文は「基本的な記述方法は、:ref:`batch_request_test`を参照。」の1文のみで、新規の記法説明を持たない。参照先の:ref:`batch_request_test`は05_UnitTestGuide/02_RequestUnitTest/batch.rstのアンカーで、batch-16でテストデータの書き方（使用方法）へMOVE済みの内容が実質的に存在する。batch-16のcurrent-0035（REFERENCE、同種の1文参照）に倣い、参照文が置かれている文脈と同じテストデータの書き方ページへREFERENCEとして割り当てる。
current-0291,current-0291,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,186,222,リクエスト単体テスト（バッチ処理） > 各種設定値 > 常駐バッチのテスト用ハンドラ構成,37,user,第2部 導入と設定,リクエスト単体テストの設定（Nablarchバッチアプリケーション）,使用方法,MOVE,常駐バッチのテストを実施する際にはプロダクション用ハンドラ構成をテスト用に変更する必要があり、変更しない場合はテスト対象の常駐バッチアプリケーションの処理が終わらずテストが正常に実施できなくなる旨、変更が必要なハンドラの対応表（RequestThreadLoopHandler→OneShotLoopHandler、変更理由）、プロダクション用設定・テスト用設定それぞれのコンポーネント設定ファイルのXMLコード例2件（同名コンポーネントをテスト用ハンドラで上書きする方式）。コンポーネント設定ファイルの記述例のためPart2の使用方法（コンポーネントを設定する）へMOVE。
current-0292,current-0292,current,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst,225,262,リクエスト単体テスト（バッチ処理） > 各種設定値 > ディレクティブのデフォルト値,38,user,第2部 導入と設定,リクエスト単体テストの設定（Nablarchバッチアプリケーション）,使用方法,MOVE,ファイルのディレクティブがシステム内である程度統一されている場合、個々のテストデータに同じディレクティブを記載するのは冗長であるため、デフォルトのディレクティブをコンポーネント設定ファイルにmap形式で記載することで省略できる旨、対象ファイル種別とname属性の対応表（共通=defaultDirectives、固定長ファイル=fixedLengthDirectives、可変長ファイル=variableLengthDirectives）、設定例のXMLコードブロック。コンポーネント設定ファイルの記述例のためPart2の使用方法へMOVE。
current-0141,current-0141,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/index.rst,1,2,(冒頭),2,user,,,,DROP,本文は「.. _dealUnitTest:」というRST内部参照ラベルのみで、直後の空行以外に実体的な記述がない。判断ルール1によりDROP。
