mapping_id,src_section_id,src_type,src_file,src_body_start,src_body_end,heading_path,lines,audience,dest_part,dest_page,dest_section,disposition,note
current-0076,current-0076,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,1,2,(冒頭),2,user,,,,DROP,内容は「.. _requestUnitTest:」というRST内部アンカーラベルのみで、直後の空行以外に実体的な記述がない。新構成のページ作成時に:refラベルを付与し直せば足りるため対応不要。
current-0077,current-0077,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,11,37,リクエスト単体テストの実施方法 > テストクラスの書き方,27,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,テストクラスの命名規則（<Action>RequestTest）、パッケージ規則、BasicHttpRequestTestTemplate継承の必須要件とコード例、DbAccessTestSupportを兼ねる旨のtipを記載。ウェブアプリケーションページの「テストクラスを作成する」手順の中核内容。
current-0078,current-0078,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,41,70,リクエスト単体テストの実施方法 > テストメソッド分割,30,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,正常系/異常系/画面表示検証でテストメソッドを分割する判断基準と分割例の表を記載。「テストメソッドを作成する」手順の一部。
current-0079,current-0079,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,74,82,リクエスト単体テストの実施方法 > テストデータの書き方 > (L2直下),9,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,Excelファイルの格納規則（テストソースと同じディレクトリ・同じ名前で拡張子のみ異なる）という実体的な規則と、詳細記法は:ref:`how_to_write_excel`（=テストデータの書き方ページ）を参照させる導線の両方を含む。「テストデータを作成する」手順としてMOVEし、テストデータの書き方ページへの参照を維持する。
current-0080,current-0080,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,85,96,リクエスト単体テストの実施方法 > テストデータの書き方 > テストクラスで共通のデータベース初期値,12,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,setUpDbシートによるDB初期値投入という記法仕様であり、design.md#4の方針（記法仕様はテストデータの書き方ページに集約）に従いMOVE。クラス単体テストとも共通の記法のため、リクエスト単体テスト固有ページではなくテストデータの書き方ページに寄せる。
current-0081,current-0081,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,99,193,リクエスト単体テストの実施方法 > テストデータの書き方 > テストケース一覧,95,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,testShots(LIST_MAP)の全カラム仕様（no/description/context/cookie/queryParams/isValidToken/setUpTable/expectedStatusCode/expectedMessageId/expectedSearch/expectedTable/forwardUri/expectedContentLength等/expectedMessage系）を定義する記法仕様。design.md#4「テストデータの書き方」に集約する方針によりMOVE。95行だが100行未満のためsplit-plan.mdの対象外、本バッチで直接判断。
current-0082,current-0082,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,196,212,リクエスト単体テストの実施方法 > テストデータの書き方 > ユーザ情報,17,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,リクエスト送信時のユーザ・HTTPメソッドをLIST_MAPで指定する記法仕様。テストデータの書き方ページの記法仕様に該当。
current-0083,current-0083,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,215,228,リクエスト単体テストの実施方法 > テストデータの書き方 > Cookie情報,14,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,Cookie情報をLIST_MAPで指定する記法仕様（任意項目）。テストデータの書き方ページに該当。
current-0084,current-0084,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,231,243,リクエスト単体テストの実施方法 > テストデータの書き方 > クエリパラメータ情報,13,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,クエリパラメータをLIST_MAPで指定する記法仕様（任意項目）。テストデータの書き方ページに該当。
current-0085,current-0085,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,246,304,リクエスト単体テストの実施方法 > テストデータの書き方 > リクエストパラメータ,59,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,requestParams(LIST_MAP)の記法、testShotsとの行単位対応、複数値のカンマ区切り表現とエスケープ規則を記載。記法仕様のためテストデータの書き方ページへMOVE。本文中の:ref:`http_dump_tool`は「リクエスト単体データ作成ツール」ページへの導線として維持想定。
current-0086,current-0086,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,307,333,リクエスト単体テストの実施方法 > テストデータの書き方 > 各種期待値,27,user,第3部 テストの実装方法,テストデータの書き方,使用方法,MOVE,期待する検索結果・期待するデータベースの状態をテストケース一覧とID紐付けする記法仕様。テストデータの書き方ページに該当。
current-0087,current-0087,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,340,381,リクエスト単体テストの実施方法 > テストメソッドの書き方 > スーパクラスについて,42,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,BasicHttpRequestTestTemplateがtestShotsを基に実行する一連の処理（DB初期化、ExecutionContext/HTTPリクエスト生成、before/afterExecuteRequestフック呼出、検証）と、getBaseUri()オーバーライドのコード例。「テストクラスを作成する」「テストメソッドを作成する」手順の前提説明として使用方法にMOVE。Nablarch開発者向けの内部実装解説ではなく、利用者がフックを使うために必要な動作説明のため audience=user。
current-0088,current-0088,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,384,395,リクエスト単体テストの実施方法 > テストメソッドの書き方 > テストメソッド作成,12,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,準備したテストシートに対応する@Testメソッドを作成する最小例。「テストメソッドを作成する」手順の中核。
current-0089,current-0089,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,398,652,リクエスト単体テストの実施方法 > テストメソッドの書き方 > スーパクラスのメソッド呼び出し,255,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,255行(>=100)のため mapping/split-plan.md を確認（grep -n '^| current-0089' split-plan.md）。同ファイルの既承認結果は「no split」で、内容はexecute()/execute(Advice)の呼び出し方とAdvice内での各種検証コード例（Entity/SqlRow/リクエストパラメータ検証等）のみであり、全てテストメソッド実装手順（アプリ開発者向け）、設定・拡張の説明はないと判定済み。宛先も第3部 > ウェブアプリケーション > 使用方法（テストメソッドを作成する）とsplit-plan.mdに明記されており、そのまま採用（分割なし・単一行）。
current-0090,current-0090,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,655,694,リクエスト単体テストの実施方法 > テストメソッドの書き方 > ダウンロードファイルのテスト,40,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,ダウンロードファイルのアサート方法（ダンプファイル命名規則、FileSupport#assertFileのコード例）。「テストメソッドを作成する」手順の一部としてMOVE。
current-0091,current-0091,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,698,701,リクエスト単体テストの実施方法 > テスト起動方法,4,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,「クラス単体テストと同様、通常のJUnitテストと同じように実行する」という短い記述。「テストを実行する」手順に対応。
current-0092,current-0092,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,705,716,リクエスト単体テストの実施方法 > テスト結果確認（目視） > (L2直下),12,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,HTMLダンプファイルを目視確認する旨と、自動テストフレームワークがHtmlCheckToolで自動チェックする旨のtip。「テスト結果を確認する」手順に対応。tip中の:doc:`../../08_TestTools/03_HtmlCheckTool/index`は別ファイルの参照で本バッチの対象外だが、宛先ページから見た外部参照として維持想定。
current-0093,current-0093,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,719,730,リクエスト単体テストの実施方法 > テスト結果確認（目視） > HTMLダンプ出力結果,12,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,HTMLダンプの出力先ディレクトリ（tmp/html_dump）とファイル命名（testShotsのdescription使用）を説明。「テスト結果を確認する」手順の一部。
current-0094,current-0094,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,734,737,リクエスト単体テストの実施方法 > リクエスト単体テストクラス作成時の注意点 > (L2直下),4,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,「Web Frameworkのハンドラを経由して呼び出される点がクラス単体テストと異なる」という前提の導入文で、後続の2小見出し(095/096)への橋渡し。ページ固有の前提事項としてMOVE。
current-0095,current-0095,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,740,747,リクエスト単体テストの実施方法 > リクエスト単体テストクラス作成時の注意点 > ThreadContextへの値設定は不要,8,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,ハンドラがThreadContextへの値設定を行うため、テストクラス側での設定が不要である旨の注意点。テストクラス作成時の実装上の注意としてMOVE。
current-0096,current-0096,current,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/index.rst,750,755,リクエスト単体テストの実施方法 > リクエスト単体テストクラス作成時の注意点 > テストクラスでのトランザクション制御は不要,6,user,第3部 テストの実装方法,リクエスト単体テスト（ウェブアプリケーション）,使用方法,MOVE,ハンドラがトランザクション制御を行うため、テストクラス内で明示的なコミットが不要である旨の注意点。テストクラス作成時の実装上の注意としてMOVE。
input-0182,input-0182,input,.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md,2,9,NTF テストデータ変換ツール 設計書 > (L1直下),8,developer,,,,DROP,文書全体の冒頭で「読み込みロジックを本体と共有し解釈をズレさせない」という設計方針そのものを述べた導入文。ツール利用者向けの入出力仕様ではなく、この設計文書自身の構成根拠（内部設計判断）の宣言であり、末尾のntf-testdata-loading.md参照も内部設計資料への案内のため、Nablarch開発者向けとしてDROP。ツールの目的自体はinput-0183でカバーする。
input-0183,input-0183,input,.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md,13,15,NTF テストデータ変換ツール 設計書 > 1. 何を作るか（背景と決定） > 解くべき課題,3,user,第4部 ツール,テストデータ変換ツール,機能概要,MOVE,「ExcelのNTFテストデータをAIエージェントが扱えるYAMLにも対応させるため、両形式を相互変換するツールを作る」という目的説明。テストデータ変換ツールページの機能概要（全体像）に該当する短い導入文としてMOVE。
input-0184,input-0184,input,.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md,17,33,NTF テストデータ変換ツール 設計書 > 1. 何を作るか（背景と決定） > 基準は「形式」ではなく「NTF 仕様上の意味」,17,user,第4部 ツール,テストデータ変換ツール,機能概要,MOVE,中間モデルを介したExcel⇔YAML変換の可逆性を説明。特殊記法は値のまま保持、マーカーカラム・空エントリ・空欄レコード種別は保持、コメント・完全な空行・行末空セルは除去という、変換結果として利用者が期待できる入出力対応を規定。色・書式・結合セル等の意味を持たない情報は可逆性の対象外である旨も含み、機能概要の前提事項に該当するためMOVE。
input-0185,input-0185,input,.rn/20260724-ntf-yaml-support/input/testdata-converter-design.md,35,53,NTF テストデータ変換ツール 設計書 > 1. 何を作るか（背景と決定） > 保持するか捨てるかの判断基準,19,developer,,,,DROP,本体の読み込み4処理（読む・掃除・特殊記法変換・組み立て）の各段を変換ツールが実行するか否かを判断した内部設計表。design.md#8がntf-testdata-loading.mdの内部処理段階（読み込みの4段階等）を対象外とした方針と同種の内部実装詳細であり、利用者は入出力の対応（input-0184でカバー）を知れば足りるためDROP。
