item_id,src_file,src_line,kind,heading_path,content,design_dest,actual_file,actual_line,verdict,note
B-0001,ja/development_tools/testing_framework/index.rst,3,heading,,,なし,,,KEPT,移送対象外
B-0002,ja/development_tools/testing_framework/index.rst,6,toctree,テスティングフレームワーク,guide/development_guide/05_UnitTestGuide/index;guide/development_guide/06_TestFWGuide/index;guide/development_guide/08_TestTools/index,なし,,,KEPT,移送対象外
B-0003,ja/development_tools/testing_framework/index.rst,14,para,テスティングフレームワーク,テスティングフレームワークを使用して機能のテストを実装するテストの実装者は :ref:`unitTestGuide` を、 テスティングフレームワークの導入をするアーキテクトは :ref:`testFWGuide` を参照してください。,なし,,,KEPT,移送対象外
B-0004,ja/development_tools/testing_framework/index.rst,17,admonition,テスティングフレームワーク,,なし,,,KEPT,移送対象外
B-0005,ja/development_tools/testing_framework/index.rst,19,para,テスティングフレームワーク,テスティングフレームワークは、以下の基盤やライブラリには対応していない。 このため、これらの基盤やライブラリを使用するアプリケーションに対するテストは、 `JUnit(外部サイト、英語) <https://junit.org/junit5/>`_ などのテスティングフレームワークを使用して行うこと。,なし,,,KEPT,移送対象外
B-0006,ja/development_tools/testing_framework/index.rst,22,para,テスティングフレームワーク,* :ref:`Jakarta Batchに準拠したバッチアプリケーション <jsr352_batch>`,なし,,,KEPT,移送対象外
B-0007,ja/development_tools/testing_framework/index.rst,24,admonition,テスティングフレームワーク,,なし,,,KEPT,移送対象外
B-0008,ja/development_tools/testing_framework/index.rst,26,para,テスティングフレームワーク,テスティングフレームワークは、マルチスレッド機能に対応していない。 マルチスレッド機能のテストは、テスティングフレームワークを使用しないテスト(結合テストなど)で行うこと。,なし,,,KEPT,移送対象外
B-0009,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/index.rst,5,heading,,,なし,,,KEPT,移送対象外
B-0010,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/index.rst,8,para,単体テスト実施方法,*共通*,なし,,,KEPT,移送対象外
B-0011,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/index.rst,11,toctree,単体テスト実施方法,01_ClassUnitTest/index,なし,,,KEPT,移送対象外
B-0012,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/index.rst,16,para,単体テスト実施方法,*ウェブアプリケーション*,なし,,,KEPT,移送対象外
