"file","line","kind","depth","path","title","detail"
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","1","heading","1","","NTF 解説書（v6）用語リファレンス",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","12","heading","2","NTF 解説書（v6）用語リファレンス","用語ドメインの全体像",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","14","code","0","NTF 解説書（v6）用語リファレンス > 用語ドメインの全体像","mermaid","mermaid
flowchart TB
  DT[データタイプ<br/>Excel 1行目のキーワード]
  SHEET[シート・行・列・セル<br/>テストデータの物理構造]"
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","36","heading","2","NTF 解説書（v6）用語リファレンス","データタイプ（Data Types）",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","61","heading","2","NTF 解説書（v6）用語リファレンス","シート・行・列・セル",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","80","heading","2","NTF 解説書（v6）用語リファレンス","セル値の解釈規則（特殊記法・マーカーカラム・コメント）",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","84","heading","3","NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント）","特殊記法",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","98","heading","3","NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント）","マーカーカラム",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","102","heading","3","NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント）","コメント",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","106","heading","3","NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント）","日付記述フォーマット",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","110","heading","3","NTF 解説書（v6）用語リファレンス > セル値の解釈規則（特殊記法・マーカーカラム・コメント）","設計原則（用語として登場する概念）",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","118","heading","2","NTF 解説書（v6）用語リファレンス","グループ ID",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","129","heading","2","NTF 解説書（v6）用語リファレンス","データタイプ別の行構造",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","131","heading","3","NTF 解説書（v6）用語リファレンス > データタイプ別の行構造","DB 系（SETUP_TABLE / EXPECTED_TABLE / EXPECTED_COMPLETE_TABLE / LIST_MAP）",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","144","heading","4","NTF 解説書（v6）用語リファレンス > データタイプ別の行構造 > DB 系（SETUP_TABLE / EXPECTED_TABLE / EXPECTED_COMPLETE_TABLE / LIST_MAP）","デフォルト値",""
".rn/20260626-ntf-yaml-support/input/ntf-doc-terms.md","154","heading","4","NTF 解説書（v6）用語リファレンス > データタイプ別の行構造 > DB 系（SETUP_TABLE / EXPECTED_TABLE / EXPECTED_COMPLETE_TABLE / LIST_MAP）","カラム省略の制約",""
